entity_id,dimension,value,is_primary
87,population,general_public,1
87,sector,public_services,1
87,region,national,1
88,population,general_public,1
88,sector,employment,1
88,sector,skills_training,0
88,region,national,1
89,population,general_public,1
89,sector,public_services,1
89,region,national,1
90,population,general_public,1
90,sector,public_services,1
90,region,national,1
91,population,seniors,1
91,sector,employment,1
91,region,national,1
92,population,general_public,1
92,sector,public_services,1
92,region,national,1
93,population,general_public,1
93,sector,public_services,1
93,region,national,1
94,population,women,1
94,sector,public_services,1
94,region,national,1
95,population,youth,1
95,population,disabilities,0
95,sector,education,1
95,sector,disability_support,0
95,region,ON,1
96,population,rural_remote,1
96,sector,employment,1
96,region,national,1
97,population,general_public,1
97,sector,employment,1
97,region,national,1
98,population,general_public,1
98,sector,employment,1
98,region,national,1
99,population,general_public,1
99,sector,housing,1
99,region,national,1
100,population,general_public,1
100,sector,employment,1
100,region,national,1
101,population,general_public,1
101,sector,employment,1
101,region,national,1
102,population,seniors,1
102,sector,employment,1
102,sector,skills_training,0
102,sector,housing,0
102,region,AB,1
103,population,general_public,1
103,sector,public_services,1
103,region,national,1
104,population,general_public,1
104,sector,employment,1
104,region,national,1
105,population,general_public,1
105,sector,public_services,1
105,region,national,1
106,population,general_public,1
106,sector,employment,1
106,region,national,1
107,population,youth,1
107,sector,employment,1
107,sector,education,0
107,sector,housing,0
107,sector,disability_support,0
107,region,national,1
108,population,general_public,1
108,sector,employment,1
108,region,national,1
109,population,First_Nations,1
109,population,disabilities,0
109,population,seniors,0
109,sector,employment,1
109,sector,skills_training,0
109,region,national,1
110,population,First_Nations,1
110,population,disabilities,0
110,sector,employment,1
110,region,national,1
111,population,general_public,1
111,sector,employment,1
111,sector,skills_training,0
111,sector,language_training,0
111,region,national,1
112,population,general_public,1
112,sector,public_services,1
112,region,national,1
113,population,general_public,1
113,sector,public_services,1
113,region,national,1
114,population,general_public,1
114,sector,public_services,1
114,region,national,1
115,population,general_public,1
115,sector,employment,1
115,region,national,1
116,population,disabilities,1
116,population,seniors,0
116,sector,healthcare,1
116,sector,funding_grants,0
116,sector,disability_support,0
116,region,national,1
117,population,general_public,1
117,sector,employment,1
117,sector,skills_training,0
117,sector,healthcare,0
117,region,national,1
118,population,general_public,1
118,sector,employment,1
118,region,national,1
119,population,general_public,1
119,sector,public_services,1
119,region,national,1
120,population,general_public,1
120,sector,skills_training,1
120,region,national,1
121,population,general_public,1
121,sector,public_services,1
121,region,national,1
122,population,seniors,1
122,sector,public_services,1
122,region,national,1
123,population,general_public,1
123,sector,employment,1
123,region,national,1
124,population,general_public,1
124,sector,employment,1
124,sector,funding_grants,0
124,region,national,1
125,population,general_public,1
125,sector,public_services,1
125,region,national,1
126,population,general_public,1
126,sector,employment,1
126,sector,housing,0
126,region,national,1
127,population,general_public,1
127,sector,employment,1
127,region,national,1
128,population,general_public,1
128,sector,employment,1
128,sector,skills_training,0
128,sector,housing,0
128,region,national,1
129,population,general_public,1
129,sector,employment,1
129,region,national,1
130,population,general_public,1
130,sector,employment,1
130,sector,language_training,0
130,region,national,1
131,population,general_public,1
131,sector,employment,1
131,sector,skills_training,0
131,region,national,1
132,population,general_public,1
132,sector,public_services,1
132,region,national,1
133,population,seniors,1
133,sector,healthcare,1
133,sector,housing,0
133,region,national,1
134,population,general_public,1
134,sector,public_services,1
134,region,national,1
135,population,general_public,1
135,sector,public_services,1
135,region,national,1
136,population,general_public,1
136,sector,public_services,1
136,region,national,1
137,population,general_public,1
137,sector,housing,1
137,region,national,1
138,population,First_Nations,1
138,population,disabilities,0
138,sector,employment,1
138,region,national,1
139,population,general_public,1
139,sector,employment,1
139,sector,healthcare,0
139,region,national,1
140,population,disabilities,1
140,sector,employment,1
140,sector,skills_training,0
140,sector,education,0
140,sector,housing,0
140,sector,language_training,0
140,sector,disability_support,0
140,region,national,1
141,population,disabilities,1
141,sector,employment,1
141,sector,healthcare,0
141,sector,mental_health,0
141,sector,housing,0
141,sector,disability_support,0
141,region,national,1
142,population,Indigenous,1
142,population,First_Nations,0
142,population,Inuit,0
142,sector,public_services,1
142,region,national,1
143,population,Indigenous,1
143,sector,public_services,1
143,region,national,1
144,population,general_public,1
144,sector,healthcare,1
144,sector,funding_grants,0
144,region,national,1
145,population,Indigenous,1
145,sector,public_services,1
145,region,national,1
146,population,Indigenous,1
146,sector,skills_training,1
146,sector,housing,0
146,sector,funding_grants,0
146,region,national,1
147,population,general_public,1
147,sector,healthcare,1
147,sector,mental_health,0
147,sector,funding_grants,0
147,region,MB,1
148,population,Inuit,1
148,sector,healthcare,1
148,sector,mental_health,0
148,sector,funding_grants,0
148,region,NU,1
149,population,general_public,1
149,sector,healthcare,1
149,sector,mental_health,0
149,sector,funding_grants,0
149,region,ON,1
150,population,Indigenous,1
150,sector,public_services,1
150,region,national,1
151,population,general_public,1
151,sector,healthcare,1
151,sector,mental_health,0
151,sector,funding_grants,0
151,region,BC,1
152,population,general_public,1
152,sector,healthcare,1
152,sector,mental_health,0
152,sector,funding_grants,0
152,region,NB,1
153,population,general_public,1
153,sector,healthcare,1
153,sector,mental_health,0
153,sector,funding_grants,0
153,region,NS,1
154,population,general_public,1
154,sector,healthcare,1
154,sector,mental_health,0
154,sector,funding_grants,0
154,region,NT,1
155,population,general_public,1
155,sector,healthcare,1
155,sector,mental_health,0
155,sector,funding_grants,0
155,region,NL,1
156,population,general_public,1
